year,country_name,hdi_category,indicator_name,reference,values
,Hungary,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Poland,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Argentina,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,95
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,92
,Chile,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,99
,Bahrain,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,99
,Slovakia,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Lithuania,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Estonia,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Latvia,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Uruguay,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,95
,Croatia,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Costa Rica,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,99
,Bahamas,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Seychelles,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Cuba,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,96
,Mexico,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Bulgaria,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Tonga,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,97
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Oman,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,96
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,99
,Romania,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,97
,Panama,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,85
,Malaysia,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,98
,Belarus,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Mauritius,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,94
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Russian Federation,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Albania,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Brazil,HIGH HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,97
,Dominica,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,99
,Colombia,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,86
,Ukraine,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Samoa,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Thailand,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,99
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,93
,Belize,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,China,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,99
,Grenada,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Armenia,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Turkey,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Suriname,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Jordan,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,100
,Peru,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,72
,Lebanon,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,100
,Ecuador,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,90
,Philippines,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,81
,Tunisia,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,99
,Fiji,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,97
,Paraguay,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,86
,Georgia,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Guyana,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,66
,Maldives,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,87
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,80
,Algeria,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,98
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,84
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,54
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,90
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,69
,Moldova,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Egypt,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,98
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,65
,Honduras,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,62
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,64
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,79
,Gabon,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,48
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,South Africa,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,70
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Botswana,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,39
,Namibia,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,34
,Morocco,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,85
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,India,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,56
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,20
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,11
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Comoros,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Ghana,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,49
,Pakistan,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,54
,Mauritania,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Lesotho,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,11
,Congo,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,20
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,32
,Swaziland,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Nepal,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,33
,Madagascar,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,15
,Cameroon,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,47
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Haiti,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,36
,Sudan,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,30
,Kenya,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,14
,Djibouti,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,34
,Togo,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,17
,Yemen,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,36
,Uganda,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,9
,Gambia,MEDIUM HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Senegal,LOW HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,33
,Eritrea,LOW HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,20
,Nigeria,LOW HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,46
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,11
,Guinea,LOW HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Rwanda,LOW HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,..
,Angola,LOW HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,15
,Benin,LOW HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,22
,Malawi,LOW HUMAN DEVELOPMENT,Electrification rate (%) 2000-05a,,7
,Zambia,,Electrification rate (%) 2000-05a,,19
,Côte d'Ivoire,,Electrification rate (%) 2000-05a,,50
,Burundi,,Electrification rate (%) 2000-05a,,..
,Congo (Democratic Republic of the),,Electrification rate (%) 2000-05a,,6
,Ethiopia,,Electrification rate (%) 2000-05a,,15
,Chad,,Electrification rate (%) 2000-05a,,..
,Central African Republic,,Electrification rate (%) 2000-05a,,..
,Mozambique,,Electrification rate (%) 2000-05a,,6
,Mali,,Electrification rate (%) 2000-05a,,..
,Niger,,Electrification rate (%) 2000-05a,,..
,Guinea-Bissau,,Electrification rate (%) 2000-05a,,..
,Burkina Faso,,Electrification rate (%) 2000-05a,,7
,Sierra Leone,,Electrification rate (%) 2000-05a,,..
,Iceland,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Norway,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Australia,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Canada,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Ireland,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Sweden,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Switzerland,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Japan,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Netherlands,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,France,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Finland,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,United States,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Spain,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Denmark,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Austria,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,United Kingdom,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Belgium,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Luxembourg,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,New Zealand,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Italy,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Germany,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Israel,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.2
,Greece,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Singapore,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.0
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Slovenia,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Cyprus,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Portugal,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.0
,Barbados,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Czech Republic,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Kuwait,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.0
,Malta,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Qatar,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.2
,Hungary,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Poland,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Argentina,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,1.8
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.4
,Chile,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.2
,Bahrain,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.0
,Slovakia,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Lithuania,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Estonia,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Latvia,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Uruguay,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.2
,Croatia,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Costa Rica,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.1
,Bahamas,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Seychelles,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Cuba,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.5
,Mexico,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Bulgaria,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Tonga,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.2
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Oman,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.1
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.0
,Romania,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.8
,Panama,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.5
,Malaysia,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.6
,Belarus,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Mauritius,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.1
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Russian Federation,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Albania,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Brazil,HIGH HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,6.5
,Dominica,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.4
,Colombia,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,6.3
,Ukraine,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Samoa,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Thailand,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.6
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.7
,Belize,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,China,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,8.5
,Grenada,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Armenia,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Turkey,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Suriname,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Jordan,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.0
,Peru,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,7.7
,Lebanon,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.0
,Ecuador,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,1.3
,Philippines,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,16.2
,Tunisia,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.1
,Fiji,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,1.8
,Paraguay,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.9
,Georgia,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Guyana,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,6.7
,Maldives,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.3
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,1.4
,Algeria,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.6
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,13.2
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,101.2
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,1.9
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,1.7
,Moldova,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Egypt,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,1.5
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,1.0
,Honduras,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,2.7
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,3.3
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,2.7
,Gabon,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,0.7
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,South Africa,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,14.0
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Botswana,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,1.1
,Namibia,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,1.4
,Morocco,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,4.5
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,India,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,487.2
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,10.9
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,45.1
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Comoros,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Ghana,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,11.3
,Pakistan,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,71.1
,Mauritania,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Lesotho,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,1.9
,Congo,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,3.2
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,96.2
,Swaziland,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Nepal,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,18.1
,Madagascar,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,15.2
,Cameroon,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,8.7
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Haiti,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,5.5
,Sudan,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,25.4
,Kenya,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,29.4
,Djibouti,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,8.7
,Togo,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,5.1
,Yemen,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,13.2
,Uganda,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,24.6
,Gambia,MEDIUM HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Senegal,LOW HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,7.8
,Eritrea,LOW HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,3.5
,Nigeria,LOW HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,71.1
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,34.2
,Guinea,LOW HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Rwanda,LOW HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,..
,Angola,LOW HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,13.5
,Benin,LOW HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,6.5
,Malawi,LOW HUMAN DEVELOPMENT,Population without  electricity (millions) 2005,,11.8
